MUSICA,ARTISTA,LETRA
'trem bala','ana vilela','ncao ce sobre ter todas as pessoas do mundo pra si ce sobre saber que em algum lugar algucem zela por ti ce sobre cantar e poder escutar mais do que a prcopria voz ce sobre danccar na chuva de vida que cai sobre ncos ce saber se sentir infinito num universo tcao vasto e bonito  ce saber sonhar entcao fazer valer a pena cada verso daquele poema sobre acreditar ncao ce sobre chegar no topo do mundo e saber que venceu ce sobre escalar e sentir que o caminho te fortaleceu ce sobre ser abrigo e tambcem ter morada em outros coracccoes e assim ter amigos contigo em todas as situacccoes a gente ncao pode ter tudo qual seria a gracca do mundo se fosse assim  por isso eu prefiro sorrisos e os presentes que a vida trouxe pra perto de mim ncao ce sobre tudo que o seu dinheiro ce capaz de comprar e sim sobre cada momento  sorriso a se compartilhar tambcem ncao ce sobre correr contra o tempo pra ter sempre mais porque quando menos se espera a vida jca ficou pra trcas segura teu filho no colo sorria e abracca os teus pais enquanto estcao aqui que a vida ce trem bala parceiro e a gente ce sco passageiro prestes a partir laica  laica  laica  laica  laica laica  laica  laica  laica  laica segura teu filho no colo sorria e abracca os teus pais enquanto estcao aqui que a vida ce trem bala parceiro e a gente ce sco passageiro prestes a partir'
'asa branca','luiz gonzaga','quando olhei a terra ardendo igual fogueira de scao jocao eu perguntei a deus do cceu  ai por que tamanha judiacccao eu perguntei a deus do cceu  ai por que tamanha judiacccao que braseiro  que fornalha nem um pce de plantacccao por falta d cagua perdi meu gado morreu de sede meu alazcao por farta d cagua perdi meu gado morreu de sede meu alazcao atce mesmo a asa branca bateu asas do sertcao depois eu disse  adeus rosinha guarda contigo meu coracccao depois eu disse  adeus rosinha guarda contigo meu coracccao hoje longe  muitas lceguas numa triste solidcao espero a chuva cair de novo pra mim voltar pro meu sertcao espero a chuva cair de novo pra mim voltar pro meu sertcao quando o verde dos teus olhos se espalhar na plantacccao eu te asseguro ncao chore ncao  viu que eu voltarei  viu meu coracccao eu te asseguro ncao chore ncao  viu que eu voltarei  viu meu coracccao'
'paula e bebeto','milton nascimento','vida vida que amor brincadeira  vera eles amaram de qualquer maneira  vera qualquer maneira de amor vale a pena qualquer maneira de amor vale amar pena que pena que coisa bonita  diga qual a palavra que nunca foi dita  diga qualquer maneira de amor vale aquela qualquer maneira de amor vale amar qualquer maneira de amor vale a pena qualquer maneira de amor valerca eles partiram por outros assuntos  muitos mas no meu canto estarcao sempre juntos  muito qualquer maneira que eu cante esse canto qualquer maneira me vale cantar eles se amam de qualquer maneira  vera eles se amam e pra vida inteira  vera qualquer maneira de amor vale o canto qualquer maneira me vale cantar qualquer maneira de amor vale aquela qualquer maneira de amor valerca pena que pena que coisa bonita  diga qual a palavra que nunca foi dita  diga qualquer maneira de amor vale o canto qualquer maneira me vale cantar qualquer maneira de amor vale aquela qualquer maneira de amor valerca'
'olha pro cceu','luiz gonzaga','olha pro cceu  meu amor vce como ele estca lindo olha praquele balcao multicor como no cceu vai sumindo olha pro cceu  meu amor vce como ele estca lindo olha praquele balcao multicor como no cceu vai sumindo foi numa noite igual a esta que tu me deste o coracccao o cceu estava assim em festa pois era noite de scao jocao havia balcoes no ar xote  baicao no salcao e no terreiro o teu olhar que incendiou meu coracccao olha pro cceu  meu amor vce como ele estca lindo olha praquele balcao multicor como no cceu vai sumindo olha pro cceu  meu amor vce como ele estca lindo olha praquele balcao multicor como no cceu vai sumindo'
'chcao de giz','zce ramalho','eu descco dessa solidcao espalho coisas sobre um chcao de giz hca meros devaneios tolos a me torturar fotografias recortadas em jornais de folhas amicude  eu vou te jogar num pano de guardar confetes eu vou te jogar num pano de guardar confetes disparo balas de canhcao ce incutil  pois existe um grcao vizir hca tantas violetas velhas sem um colibri queria usar  quem sabe uma camisa de forcca ou de vcenus mas ncao vou gozar de ncos apenas um cigarro nem vou lhe beijar gastando assim o meu batom agora pego um caminhcao na lona vou a nocaute outra vez pra sempre fui acorrentado no seu calcanhar meus vinte anos de boy that s over  baby  freud explica ncao vou me sujar fumando apenas um cigarro nem vou lhe beijar gastando assim o meu batom quanto ao pano dos confetes jca passou meu carnaval e isso explica porque o sexo ce assunto popular no mais  estou indo embora  no mais  estou indo embora  no mais  estou indo embora  no mais '
'de janeiro a janeiro  part  nando reis ','roberta campos','ncao consigo olhar no fundo dos seus olhos e enxergar as coisas que me deixam no ar  deixam no ar as vcarias fases  estacccoes que me levam com o vento e o pensamento bem devagar outra vez  eu tive que fugir eu tive que correr  pra ncao me entregar cas loucuras que me levam atce vocce me fazem esquecer que eu ncao posso chorar olhe bem no fundo dos meus olhos e sinta a emocccao que nascerca quando vocce me olhar o universo conspira a nosso favor a consequcencia do destino ce o amor pra sempre vou te amar mas talvez vocce ncao entenda essa coisa de fazer o mundo acreditar que meu amor ncao serca passageiro te amarei de janeiro a janeiro atce o mundo acabar atce o mundo acabar atce o mundo acabar atce o mundo acabar mas talvez vocce ncao entenda essa coisa de fazer o mundo acreditar que meu amor ncao serca passageiro te amarei de janeiro a janeiro atce o mundo acabar atce o mundo acabar atce o mundo acabar atce o mundo acabar de janeiro a janeiro'
'sozinho','caetano veloso','cas vezes no silcencio da noite eu fico imaginando ncos dois eu fico ali sonhando acordado juntando o antes  o agora e o depois por que vocce me deixa tcao solto  por que vocce ncao cola em mim  tco me sentindo muito sozinho ncao sou nem quero ser o seu dono ce que um carinho cas vezes cai bem eu tenho os meus desejos e planos secretos sco abro pra vocce mais ningucem por que vocce me esquece e some  e se eu me interessar por algucem  e se ela  de repente  me ganha  quando a gente gosta ce claro que a gente cuida fala que me ama sco que ce da boca pra fora ou vocce me engana ou ncao estca madura onde estca vocce agora  quando a gente gosta ce claro que a gente cuida fala que me ama sco que ce da boca pra fora ou vocce me engana ou ncao estca madura onde estca vocce agora '
'simples assim','lenine','do alto da arrogcancia qualquer homem se imagina muito mais do que consegue ser ce que vendo lca de cima  a iluscao que lhe domina diz que pode muito antes de querer querer ncao ce questcao  ncao justifica o fim pra quce complicacccao  ce simples assim focado no seu mundo qualquer homem imagina muito menos do que pode ver no escuro do seu quarto ignora o cceu lca fora e fica claro que ele ncao quer perceber viver ce uma questcao de inicio  meio e fim pra quce a solidcao  ce simples assim ce  eu ando em busca dessa tal simplicidade ce  ncao deve ser tcao complicado assim ce  se eu acredito  ce minha verdade ce simples assim e a vida continua surpreendentemente bela mesmo quando nada nos sorri e a gente ainda insiste em ter alguma confiancca num futuro que ainda estca por vir viver ce uma paixcao do inicio  meio ao fim pra quce complicacccao  ce simples assim ce  eu ando em busca dessa tal simplicidade ce  ncao deve ser tcao complicado assim ce  se eu acredito  ce minha verdade eu vivo essa paixcao do inicio  meio ao fim pra quce a solidcao  ce simples assim eu vivo essa paixcao do inicio  meio ao fim pra quce complicacccao  ce simples assim'
'aquarela','toquinho','numa folha qualquer eu desenho um sol amarelo e com cinco ou seis retas ce fcacil fazer um castelo corro o lcapis em torno da mcao e me dou uma luva e se facco chover  com dois riscos tenho um guarda chuva se um pinguinho de tinta cai num pedacinho azul do papel num instante imagino uma linda gaivota a voar no cceu vai voando  contornando a imensa curva norte sul vou com ela viajando havaci  pequim ou istambul pinto um barco a vela branco navegando ce tanto cceu e mar num beijo azul entre as nuvens vem surgindo um lindo avicao rosa e grenca tudo em volta colorindo  com suas luzes a piscar basta imaginar e ele estca partindo  sereno e lindo e se a gente quiser ele vai pousar numa folha qualquer eu desenho um navio de partida com alguns bons amigos bebendo de bem com a vida de uma amcerica a outra consigo passar num segundo giro um simples compasso e num ccirculo eu facco o mundo um menino caminha e caminhando chega no muro e ali logo em frente a esperar pela gente o futuro estca e o futuro ce uma astronave que tentamos pilotar ncao tem tempo nem piedade nem tem hora de chegar sem pedir licencca muda nossa vida depois convida a rir ou chorar nessa estrada ncao nos cabe conhecer ou ver o que virca o fim dela ningucem sabe bem ao certo onde vai dar vamos todos numa linda passarela de uma aquarela que um dia enfim descolorirca numa folha qualquer eu desenho um sol amarelo que descolorirca e com cinco ou seis retas ce fcacil fazer um castelo que descolorirca giro um simples compasso e num ccirculo eu facco o mundo que descolorirca'
'trem bala  especial dia das mcaes ','ana vilela','ncao ce sobre ter todas as pessoas do mundo pra si ce sobre saber que  em algum lugar  algucem zela por ti ce sobre  desde cedo  aprender a reconhecer a sua voz ce sobre o amor infinito que sempre existiu entre ncos ce saber que vocce estca comigo nos momentos que eu mais preciso pra me acompanhar entcao fazer valer a pena cada verso daquele poema sobre o que ce amar ncao ce sobre chegar no topo do mundo e saber que venceu ce ver que vocce me ajudou a trilhar cada caminho meu ce sobre ter abrigo e fazer morada no seu coracccao e se eu precisar  vocce sempre irca me estender sua mcao a gente jca passou por tudo qual seria a gracca da vida sem vocce aqui  pra ser o meu porto seguro o presente que a vida me deu logo que eu nasci ncao ce sobre tudo que o seu dinheiro ce capaz de comprar e sim sobre cada momento que juntas pudemos passar contigo aprendi que o mais importante ce ser do que ter e pelo que eu me tornei sco tenho a te agradecer vocce me segurou no colo sorriu e entendeu realmente o que era amar e eu desde o primeiro dia tcao pequena  jca soube que em ti podia confiar'
